artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
christina aguilera,i turn to you,False,1999,0.685,0.556,0.44,0.601,0.026,0.389,0.0,0.108,0.278,127,273,Veloce (Allegro),C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
madonna,american pie,False,2000,0.652,0.593,0.719,0.644,0.023,0.356,0.0,0.136,0.591,124,273,Veloce (Allegro),F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
red hot chili peppers,otherside,False,1999,0.876,0.389,0.784,0.852,0.062,0.003,0.0,0.065,0.508,123,255,Veloce (Allegro),C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sammie,i like it,False,2000,0.618,0.824,0.637,0.592,0.07,0.01,0.0,0.007,0.871,130,251,Veloce (Allegro),A,Major,A Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
craig david,7 days,False,2000,0.786,0.626,0.802,0.643,0.046,0.236,0.0,0.088,0.909,83,235,Moderato,E,Minor,E Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
santana,maria maria (feat. the product g&b),False,1999,0.742,0.766,0.578,0.721,0.186,0.042,0.002,0.016,0.687,98,261,Moderato,D,Major,D Major,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
kandi,don't think i'm not,False,2000,0.618,0.863,0.601,0.609,0.038,0.068,0.0,0.022,0.422,134,243,Veloce (Allegro),B,Major,B Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
p!nk,there you go,False,2000,0.618,0.819,0.839,0.681,0.124,0.088,0.0,0.028,0.674,108,202,Moderato,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vengaboys,shalala lala,False,2000,0.652,0.735,0.896,0.727,0.017,0.052,0.003,0.022,1.0,124,214,Veloce (Allegro),D,Major,D Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ronan keating,life is a rollercoaster,False,2000,0.663,0.622,0.78,0.573,0.013,0.102,0.0,0.376,0.881,119,234,Allegretto,C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
madison avenue,don't call me baby,False,1999,0.629,0.803,0.982,0.688,0.014,0.06,0.007,0.395,0.987,125,228,Veloce (Allegro),D#,Minor,D# Minor,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
destiny's child,"jumpin', jumpin'",False,1999,0.786,0.759,0.667,0.784,0.061,0.006,0.002,0.039,0.69,89,230,Moderato,C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
celine dion,that's the way it is,False,1999,0.719,0.597,0.88,0.746,0.036,0.158,0.0,0.116,0.576,93,241,Moderato,A,Major,A Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3 doors down,kryptonite,False,2000,0.876,0.492,0.858,0.732,0.01,0.007,0.0,0.176,0.54,99,233,Moderato,B,Minor,B Minor,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
carl thomas,i wish,False,2000,0.584,0.718,0.647,0.77,0.019,0.061,0.0,0.103,0.199,90,226,Moderato,C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mystikal,shake ya ass,True,2000,0.64,0.928,0.585,0.734,0.537,0.064,0.0,0.036,0.672,98,256,Moderato,G,Major,G Major,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fuel,hemorrhage (in my hands),False,2000,0.551,0.218,0.822,0.821,0.031,0.0,0.0,0.263,0.314,152,236,Veloce (Allegro),C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
donell jones,where i wanna be,False,1999,0.64,0.632,0.361,0.562,0.012,0.533,0.0,0.296,0.444,102,253,Moderato,F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
savage garden,crash and burn,False,1999,0.607,0.534,0.585,0.596,0.009,0.194,0.0,0.08,0.187,102,281,Moderato,E,Major,E Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
westlife,my love,False,2000,0.764,0.428,0.57,0.718,0.004,0.1,0.0,0.283,0.31,144,231,Veloce (Allegro),C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all saints,pure shores,False,2000,0.697,0.593,0.645,0.559,0.002,0.051,0.0,0.058,0.395,101,268,Moderato,F#,Major,F# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
destiny's child,"independent women, pt. 1",False,2001,0.73,0.71,0.58,0.827,0.331,0.371,0.0,0.177,0.951,98,221,Moderato,F#,Minor,F# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
nsync,it's gonna be me,False,2000,0.674,0.609,0.868,0.783,0.103,0.047,0.0,0.044,0.903,165,191,Vivace,C,Minor,C Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
erykah badu,bag lady,False,2000,0.607,0.703,0.382,0.571,0.11,0.374,0.0,0.091,0.578,151,348,Veloce (Allegro),F,Minor,F Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
marc anthony,you sang to me,False,1999,0.629,0.531,0.889,0.746,0.012,0.01,0.0,0.234,0.752,166,347,Vivace,A#,Major,A# Major,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
matchbox twenty,bent,False,2000,0.607,0.46,0.821,0.677,0.028,0.041,0.0,0.425,0.523,95,256,Moderato,F#,Minor,F# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
gabrielle,rise,False,2001,0.674,0.507,0.451,0.545,0.005,0.323,0.0,0.082,0.634,145,219,Veloce (Allegro),G#,Major,G# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
