artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_name,mode_name,tonality,tempo_class,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
gym class heroes,cupid's chokehold / breakfast in america - radio mix,False,2007,0.59,0.584,0.681,0.762,0.0781,0.495,0.0,0.289,0.821,80,3.57,C#,Minor,C# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
akon,i wanna love you,True,2006,0.53,0.865,0.45,0.55,0.0417,0.0359,1.28e-06,0.308,0.352,100,4.07,C,Major,C Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
soulja boy,crank that (soulja boy),False,2007,0.74,0.736,0.74,0.906,0.0786,0.515,0.0,0.0468,0.803,140,3.41,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fat joe,make it rain,True,2006,0.59,0.744,0.697,0.763,0.197,0.0106,0.0,0.0842,0.767,149,4.07,B,Minor,B Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
p!nk,u + ur hand,True,2006,0.0,0.709,0.891,0.831,0.0528,0.00144,0.0,0.034,0.886,141,3.34,C,Major,C Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rihanna,shut up and drive,False,2008,0.69,0.735,0.826,0.771,0.0349,0.00101,0.129,0.197,0.74,133,3.32,C#,Major,C# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
lloyd,get it shawty,False,2007,0.62,0.822,0.905,0.814,0.241,0.123,0.0,0.0496,0.674,128,3.29,F,Minor,F Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
kanye west,can't tell me nothing,True,2007,0.47,0.596,0.62,0.711,0.039,0.0122,0.0,0.82,0.102,80,4.31,F,Minor,F Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
camille jones,the creeps - fedde le grand radio mix,False,2006,0.17,0.847,0.861,0.686,0.0603,0.278,0.029,0.0626,0.724,128,2.32,F#,Major,F# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
linkin park,what i've done,False,2007,0.77,0.623,0.93,0.752,0.0324,0.0141,1.64e-06,0.138,0.287,120,3.25,F,Major,F Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
keyshia cole,last night,False,2007,0.6,0.918,0.857,0.765,0.0623,0.166,0.0003,0.0855,0.972,121,4.15,D#,Minor,D# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
chris brown,kiss kiss (feat. t-pain),False,2007,0.68,0.729,0.658,0.846,0.225,0.0506,0.0,0.0693,0.551,140,4.1,A#,Minor,A# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
shop boyz,party like a rock star,True,2007,0.61,0.619,0.709,0.785,0.0395,0.00541,0.0,0.507,0.68,145,4.13,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
finger eleven,paralyzer,False,2007,0.73,0.644,0.939,0.841,0.0456,0.157,0.0,0.233,0.861,106,3.28,B,Minor,B Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
justin timberlake,summer love,False,2006,0.66,0.606,0.591,0.656,0.087,0.0756,0.0,0.328,0.477,96,4.12,C,Minor,C Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mims,this is why i'm hot,True,2007,0.59,0.621,0.6,0.7,0.576,0.277,0.0,0.495,0.485,80,4.13,G#,Major,G# Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fabolous,make me better,True,2007,0.62,0.607,0.599,0.673,0.0995,0.33,0.0,0.199,0.562,86,4.13,B,Major,B Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
seether,fake it,True,2007,0.73,0.611,0.95,0.84,0.0518,0.00141,1.59e-06,0.0543,0.607,132,3.13,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
